town,office,district,party,candidate,votes
Norwalk,President,,REP,Uncommitted,86
Norwich,President,,REP,Uncommitted,20
Old Lyme,President,,REP,Uncommitted,13
Old Saybrook,President,,REP,Uncommitted,13
Orange,President,,REP,Uncommitted,14
Oxford,President,,REP,Uncommitted,12
Plainfield,President,,REP,Uncommitted,9
Plainville,President,,REP,Uncommitted,15
Plymouth,President,,REP,Uncommitted,4
Pomfret,President,,REP,Uncommitted,4
Portland,President,,REP,Uncommitted,2
Preston,President,,REP,Uncommitted,7
Prospect,President,,REP,Uncommitted,7
Putnam,President,,REP,Uncommitted,3
Redding,President,,REP,Uncommitted,19
Ridgefield,President,,REP,Uncommitted,42
Rocky Hill,President,,REP,Uncommitted,16
Roxbury,President,,REP,Uncommitted,4
Salem,President,,REP,Uncommitted,2
Salisbury,President,,REP,Uncommitted,9
Scotland,President,,REP,Uncommitted,1
Seymour,President,,REP,Uncommitted,8
Sharon,President,,REP,Uncommitted,4
Shelton,President,,REP,Uncommitted,40
Sherman,President,,REP,Uncommitted,5
Simsbury,President,,REP,Uncommitted,32
Somers,President,,REP,Uncommitted,7
South Windsor,President,,REP,Uncommitted,15_
Southbury,President,,REP,Uncommitted,19
Southington,President,,REP,Uncommitted,23
Sprague,President,,REP,Uncommitted,3
Stafford,President,,REP,Uncommitted,12
Stamford,President,,REP,Uncommitted,88
Sterling,President,,REP,Uncommitted,1
Stonington,President,,REP,Uncommitted,27
Stratford,President,,REP,Uncommitted,38
Suffield,President,,REP,Uncommitted,10
Thomaston,President,,REP,Uncommitted,3
Thompson,President,,REP,Uncommitted,8
Tolland,President,,REP,Uncommitted,9
Torrington,President,,REP,Uncommitted,19
Trumbull,President,,REP,Uncommitted,29
Union,President,,REP,Uncommitted,4
Vernon,President,,REP,Uncommitted,19
Voluntown,President,,REP,Uncommitted,4
Wallingford,President,,REP,Uncommitted,18
Warren,President,,REP,Uncommitted,2
Washington,President,,REP,Uncommitted,10
Waterbury,President,,REP,Uncommitted,38
Waterford,President,,REP,Uncommitted,18
Watertown,President,,REP,Uncommitted,15
West Hartford,President,,REP,Uncommitted,53
West Haven,President,,REP,Uncommitted,17
Westbrook,President,,REP,Uncommitted,7
Weston,President,,REP,Uncommitted,11
Westport,President,,REP,Uncommitted,50
Wethersfield,President,,REP,Uncommitted,20
Willington,President,,REP,Uncommitted,5
Wilton,President,,REP,Uncommitted,31
Winchester,President,,REP,Uncommitted,13
Windham,President,,REP,Uncommitted,10
Windsor,President,,REP,Uncommitted,15
Windsor Locks,President,,REP,Uncommitted,11
Wolcott,President,,REP,Uncommitted,8
Woodbridge,President,,REP,Uncommitted,5
Woodbury,President,,REP,Uncommitted,9
Woodstock,President,,REP,Uncommitted,11
