candidate,party,office,district,town,votes,precinct
Ryan Binkley,Republican Party,President,,Norwalk,0,Marvin School
Uncommitted,Republican Party,President,,Norwalk,6,Marvin School
Ron DeSantis,Republican Party,President,,Norwalk,0,Nathan Hale Middle School
Nikki Haley,Republican Party,President,,Norwalk,5,Nathan Hale Middle School
Donald J. Trump,Republican Party,President,,Norwalk,34,Nathan Hale Middle School
Ryan Binkley,Republican Party,President,,Norwalk,0,Nathan Hale Middle School
Uncommitted,Republican Party,President,,Norwalk,2,Nathan Hale Middle School
Ron DeSantis,Republican Party,President,,Norwalk,0,Nathaniel Ely School
Nikki Haley,Republican Party,President,,Norwalk,1,Nathaniel Ely School
Donald J. Trump,Republican Party,President,,Norwalk,4,Nathaniel Ely School
Ryan Binkley,Republican Party,President,,Norwalk,0,Nathaniel Ely School
Uncommitted,Republican Party,President,,Norwalk,0,Nathaniel Ely School
Ron DeSantis,Republican Party,President,,Norwalk,0,Norwalk City Hall
Nikki Haley,Republican Party,President,,Norwalk,0,Norwalk City Hall
Donald J. Trump,Republican Party,President,,Norwalk,0,Norwalk City Hall
Ryan Binkley,Republican Party,President,,Norwalk,0,Norwalk City Hall
Uncommitted,Republican Party,President,,Norwalk,0,Norwalk City Hall
Ron DeSantis,Republican Party,President,,Norwalk,0,Norwalk Main Library
Nikki Haley,Republican Party,President,,Norwalk,1,Norwalk Main Library
Donald J. Trump,Republican Party,President,,Norwalk,10,Norwalk Main Library
Ryan Binkley,Republican Party,President,,Norwalk,0,Norwalk Main Library
Uncommitted,Republican Party,President,,Norwalk,0,Norwalk Main Library
Ron DeSantis,Republican Party,President,,Norwalk,0,Ponus Ridge Middle School
Nikki Haley,Republican Party,President,,Norwalk,6,Ponus Ridge Middle School
Donald J. Trump,Republican Party,President,,Norwalk,55,Ponus Ridge Middle School
Ryan Binkley,Republican Party,President,,Norwalk,0,Ponus Ridge Middle School
Uncommitted,Republican Party,President,,Norwalk,3,Ponus Ridge Middle School
Ron DeSantis,Republican Party,President,,Norwalk,1,Rowayton School
Nikki Haley,Republican Party,President,,Norwalk,8,Rowayton School
Donald J. Trump,Republican Party,President,,Norwalk,8,Rowayton School
Ryan Binkley,Republican Party,President,,Norwalk,1,Rowayton School
Uncommitted,Republican Party,President,,Norwalk,0,Rowayton School
Ron DeSantis,Republican Party,President,,Norwalk,2,Tracey School
Nikki Haley,Republican Party,President,,Norwalk,4,Tracey School
Donald J. Trump,Republican Party,President,,Norwalk,35,Tracey School
Ryan Binkley,Republican Party,President,,Norwalk,0,Tracey School
Uncommitted,Republican Party,President,,Norwalk,0,Tracey School
Ron DeSantis,Republican Party,President,,Norwalk,3,West Rocks Middle School
Nikki Haley,Republican Party,President,,Norwalk,13,West Rocks Middle School
Donald J. Trump,Republican Party,President,,Norwalk,61,West Rocks Middle School
Ryan Binkley,Republican Party,President,,Norwalk,0,West Rocks Middle School
Uncommitted,Republican Party,President,,Norwalk,6,West Rocks Middle School
Ron DeSantis,Republican Party,President,,Norwalk,0,Wolfpit School
Nikki Haley,Republican Party,President,,Norwalk,3,Wolfpit School
Donald J. Trump,Republican Party,President,,Norwalk,47,Wolfpit School
Ryan Binkley,Republican Party,President,,Norwalk,0,Wolfpit School
Uncommitted,Republican Party,President,,Norwalk,1,Wolfpit School
Ron DeSantis,Republican Party,President,,Norwich,1,Ahepa-110 Community Room
Nikki Haley,Republican Party,President,,Norwich,3,Ahepa-110 Community Room
Donald J. Trump,Republican Party,President,,Norwich,23,Ahepa-110 Community Room
Ryan Binkley,Republican Party,President,,Norwich,0,Ahepa-110 Community Room
Uncommitted,Republican Party,President,,Norwich,1,Ahepa-110 Community Room
Ron DeSantis,Republican Party,President,,Norwich,2,Beth Jacob Synagogue
Nikki Haley,Republican Party,President,,Norwich,3,Beth Jacob Synagogue
Donald J. Trump,Republican Party,President,,Norwich,49,Beth Jacob Synagogue
Ryan Binkley,Republican Party,President,,Norwich,0,Beth Jacob Synagogue
Uncommitted,Republican Party,President,,Norwich,2,Beth Jacob Synagogue
Ron DeSantis,Republican Party,President,,Norwich,0,Holy Trinity Greek Orthodox Church
Nikki Haley,Republican Party,President,,Norwich,2,Holy Trinity Greek Orthodox Church
Donald J. Trump,Republican Party,President,,Norwich,25,Holy Trinity Greek Orthodox Church
Ryan Binkley,Republican Party,President,,Norwich,1,Holy Trinity Greek Orthodox Church
Uncommitted,Republican Party,President,,Norwich,0,Holy Trinity Greek Orthodox Church
Ron DeSantis,Republican Party,President,,Norwich,0,Norwich Worship Center
Nikki Haley,Republican Party,President,,Norwich,7,Norwich Worship Center
Donald J. Trump,Republican Party,President,,Norwich,55,Norwich Worship Center
Ryan Binkley,Republican Party,President,,Norwich,1,Norwich Worship Center
Uncommitted,Republican Party,President,,Norwich,2,Norwich Worship Center
Ron DeSantis,Republican Party,President,,Norwich,1,Rose City Senior Center
Nikki Haley,Republican Party,President,,Norwich,7,Rose City Senior Center
Donald J. Trump,Republican Party,President,,Norwich,31,Rose City Senior Center
Ryan Binkley,Republican Party,President,,Norwich,1,Rose City Senior Center
Uncommitted,Republican Party,President,,Norwich,2,Rose City Senior Center
Ron DeSantis,Republican Party,President,,Norwich,2,VFW - Norwich Industrial Park
Nikki Haley,Republican Party,President,,Norwich,4,VFW - Norwich Industrial Park
Donald J. Trump,Republican Party,President,,Norwich,21,VFW - Norwich Industrial Park
Ryan Binkley,Republican Party,President,,Norwich,1,VFW - Norwich Industrial Park
Uncommitted,Republican Party,President,,Norwich,1,VFW - Norwich Industrial Park
Ron DeSantis,Republican Party,President,,Old Lyme,6,Lol Middle School Gymnasium
Nikki Haley,Republican Party,President,,Old Lyme,51,Lol Middle School Gymnasium
Donald J. Trump,Republican Party,President,,Old Lyme,151,Lol Middle School Gymnasium
Ryan Binkley,Republican Party,President,,Old Lyme,2,Lol Middle School Gymnasium
Uncommitted,Republican Party,President,,Old Lyme,17,Lol Middle School Gymnasium
Ron DeSantis,Republican Party,President,,Old Saybrook,7,Old Saybrook High School Gymnasium
Nikki Haley,Republican Party,President,,Old Saybrook,17,Old Saybrook High School Gymnasium
Donald J. Trump,Republican Party,President,,Old Saybrook,97,Old Saybrook High School Gymnasium
Ryan Binkley,Republican Party,President,,Old Saybrook,1,Old Saybrook High School Gymnasium
Uncommitted,Republican Party,President,,Old Saybrook,7,Old Saybrook High School Gymnasium
Ron DeSantis,Republican Party,President,,Old Saybrook,2,Old Saybrook Middle School Gymnasium
Nikki Haley,Republican Party,President,,Old Saybrook,21,Old Saybrook Middle School Gymnasium
Donald J. Trump,Republican Party,President,,Old Saybrook,68,Old Saybrook Middle School Gymnasium
Ryan Binkley,Republican Party,President,,Old Saybrook,0,Old Saybrook Middle School Gymnasium
Uncommitted,Republican Party,President,,Old Saybrook,2,Old Saybrook Middle School Gymnasium
Ron DeSantis,Republican Party,President,,Orange,1,High Plains Community Center - Gym
Ron DeSantis,Republican Party,President,,Orange,1,High Plains Community Center - Gym
Ron DeSantis,Republican Party,President,,Orange,5,High Plains Community Center - Gym
Nikki Haley,Republican Party,President,,Orange,6,High Plains Community Center - Gym
Nikki Haley,Republican Party,President,,Orange,12,High Plains Community Center - Gym
Nikki Haley,Republican Party,President,,Orange,17,High Plains Community Center - Gym
Donald J. Trump,Republican Party,President,,Orange,43,High Plains Community Center - Gym
Donald J. Trump,Republican Party,President,,Orange,59,High Plains Community Center - Gym
Donald J. Trump,Republican Party,President,,Orange,59,High Plains Community Center - Gym
Ryan Binkley,Republican Party,President,,Orange,0,High Plains Community Center - Gym
Ryan Binkley,Republican Party,President,,Orange,0,High Plains Community Center - Gym
Ryan Binkley,Republican Party,President,,Orange,0,High Plains Community Center - Gym
Uncommitted,Republican Party,President,,Orange,3,High Plains Community Center - Gym
Uncommitted,Republican Party,President,,Orange,5,High Plains Community Center - Gym
Uncommitted,Republican Party,President,,Orange,7,High Plains Community Center - Gym
Ron DeSantis,Republican Party,President,,Oxford,8,Quaker Farms School
Nikki Haley,Republican Party,President,,Oxford,21,Quaker Farms School
Donald J. Trump,Republican Party,President,,Oxford,261,Quaker Farms School
Ryan Binkley,Republican Party,President,,Oxford,1,Quaker Farms School
Uncommitted,Republican Party,President,,Oxford,14,Quaker Farms School
Ron DeSantis,Republican Party,President,,Plainfield,0,1 Town Hall
Ron DeSantis,Republican Party,President,,Plainfield,1,1 Town Hall
Nikki Haley,Republican Party,President,,Plainfield,3,1 Town Hall
Nikki Haley,Republican Party,President,,Plainfield,5,1 Town Hall
Donald J. Trump,Republican Party,President,,Plainfield,22,1 Town Hall
Donald J. Trump,Republican Party,President,,Plainfield,59,1 Town Hall
Ryan Binkley,Republican Party,President,,Plainfield,0,1 Town Hall
Ryan Binkley,Republican Party,President,,Plainfield,1,1 Town Hall
Uncommitted,Republican Party,President,,Plainfield,0,1 Town Hall
Uncommitted,Republican Party,President,,Plainfield,0,1 Town Hall
Ron DeSantis,Republican Party,President,,Plainfield,2,3 Moosup Fire Station
Nikki Haley,Republican Party,President,,Plainfield,3,3 Moosup Fire Station
Donald J. Trump,Republican Party,President,,Plainfield,47,3 Moosup Fire Station
Ryan Binkley,Republican Party,President,,Plainfield,0,3 Moosup Fire Station
Uncommitted,Republican Party,President,,Plainfield,5,3 Moosup Fire Station
Ron DeSantis,Republican Party,President,,Plainville,0,Linden Street School
Nikki Haley,Republican Party,President,,Plainville,6,Linden Street School
Donald J. Trump,Republican Party,President,,Plainville,58,Linden Street School
Ryan Binkley,Republican Party,President,,Plainville,0,Linden Street School
Uncommitted,Republican Party,President,,Plainville,1,Linden Street School
Ron DeSantis,Republican Party,President,,Plainville,2,Our Lady Of Mercy Parish Center
Nikki Haley,Republican Party,President,,Plainville,5,Our Lady Of Mercy Parish Center
Donald J. Trump,Republican Party,President,,Plainville,68,Our Lady Of Mercy Parish Center
Ryan Binkley,Republican Party,President,,Plainville,0,Our Lady Of Mercy Parish Center
Uncommitted,Republican Party,President,,Plainville,2,Our Lady Of Mercy Parish Center
Ron DeSantis,Republican Party,President,,Plainville,0,Toffolon School
Nikki Haley,Republican Party,President,,Plainville,3,Toffolon School
Donald J. Trump,Republican Party,President,,Plainville,38,Toffolon School
Ryan Binkley,Republican Party,President,,Plainville,2,Toffolon School
Uncommitted,Republican Party,President,,Plainville,1,Toffolon School
Ron DeSantis,Republican Party,President,,Plainville,1,Wheeler School
Nikki Haley,Republican Party,President,,Plainville,5,Wheeler School
Donald J. Trump,Republican Party,President,,Plainville,19,Wheeler School
Ryan Binkley,Republican Party,President,,Plainville,0,Wheeler School
Uncommitted,Republican Party,President,,Plainville,3,Wheeler School
Ron DeSantis,Republican Party,President,,Plymouth,8,Town Hall
Nikki Haley,Republican Party,President,,Plymouth,22,Town Hall
Donald J. Trump,Republican Party,President,,Plymouth,211,Town Hall
Ryan Binkley,Republican Party,President,,Plymouth,5,Town Hall
Uncommitted,Republican Party,President,,Plymouth,7,Town Hall
Ron DeSantis,Republican Party,President,,Pomfret,6,Pomfret Community School
Nikki Haley,Republican Party,President,,Pomfret,11,Pomfret Community School
Donald J. Trump,Republican Party,President,,Pomfret,68,Pomfret Community School
Ryan Binkley,Republican Party,President,,Pomfret,0,Pomfret Community School
Uncommitted,Republican Party,President,,Pomfret,5,Pomfret Community School
Ron DeSantis,Republican Party,President,,Portland,4,Portland Middle School
Nikki Haley,Republican Party,President,,Portland,27,Portland Middle School
Donald J. Trump,Republican Party,President,,Portland,151,Portland Middle School
Ryan Binkley,Republican Party,President,,Portland,0,Portland Middle School
Uncommitted,Republican Party,President,,Portland,12,Portland Middle School
Ron DeSantis,Republican Party,President,,Preston,2,Preston Plains Middle School
Nikki Haley,Republican Party,President,,Preston,14,Preston Plains Middle School
Donald J. Trump,Republican Party,President,,Preston,83,Preston Plains Middle School
Ryan Binkley,Republican Party,President,,Preston,0,Preston Plains Middle School
Uncommitted,Republican Party,President,,Preston,15,Preston Plains Middle School
Ron DeSantis,Republican Party,President,,Prospect,3,Community Center
Nikki Haley,Republican Party,President,,Prospect,11,Community Center
Donald J. Trump,Republican Party,President,,Prospect,102,Community Center
Ryan Binkley,Republican Party,President,,Prospect,0,Community Center
Uncommitted,Republican Party,President,,Prospect,2,Community Center
Ron DeSantis,Republican Party,President,,Prospect,2,Prospect Firehouse
Nikki Haley,Republican Party,President,,Prospect,14,Prospect Firehouse
Donald J. Trump,Republican Party,President,,Prospect,91,Prospect Firehouse
Ryan Binkley,Republican Party,President,,Prospect,0,Prospect Firehouse
Uncommitted,Republican Party,President,,Prospect,4,Prospect Firehouse
Ron DeSantis,Republican Party,President,,Putnam,0,Municipal Complex Town Hall
Ron DeSantis,Republican Party,President,,Putnam,0,Municipal Complex Town Hall
Nikki Haley,Republican Party,President,,Putnam,3,Municipal Complex Town Hall
Nikki Haley,Republican Party,President,,Putnam,8,Municipal Complex Town Hall
Donald J. Trump,Republican Party,President,,Putnam,37,Municipal Complex Town Hall
Donald J. Trump,Republican Party,President,,Putnam,52,Municipal Complex Town Hall
Ryan Binkley,Republican Party,President,,Putnam,1,Municipal Complex Town Hall
Ryan Binkley,Republican Party,President,,Putnam,1,Municipal Complex Town Hall
Uncommitted,Republican Party,President,,Putnam,3,Municipal Complex Town Hall
Uncommitted,Republican Party,President,,Putnam,4,Municipal Complex Town Hall
Ron DeSantis,Republican Party,President,,Redding,3,Redding Community Center
Nikki Haley,Republican Party,President,,Redding,38,Redding Community Center
Donald J. Trump,Republican Party,President,,Redding,110,Redding Community Center
Ryan Binkley,Republican Party,President,,Redding,0,Redding Community Center
Uncommitted,Republican Party,President,,Redding,9,Redding Community Center
Ron DeSantis,Republican Party,President,,Ridgefield,2,East Ridge Middle School - 1
Nikki Haley,Republican Party,President,,Ridgefield,27,East Ridge Middle School - 1
Donald J. Trump,Republican Party,President,,Ridgefield,102,East Ridge Middle School - 1
Ryan Binkley,Republican Party,President,,Ridgefield,0,East Ridge Middle School - 1
Uncommitted,Republican Party,President,,Ridgefield,9,East Ridge Middle School - 1
Ron DeSantis,Republican Party,President,,Ridgefield,4,Scotts Ridge Middle School - 2
Nikki Haley,Republican Party,President,,Ridgefield,30,Scotts Ridge Middle School - 2
Donald J. Trump,Republican Party,President,,Ridgefield,98,Scotts Ridge Middle School - 2
Ryan Binkley,Republican Party,President,,Ridgefield,0,Scotts Ridge Middle School - 2
Uncommitted,Republican Party,President,,Ridgefield,2,Scotts Ridge Middle School - 2
Ron DeSantis,Republican Party,President,,Ridgefield,3,Yanity Gym - 3
Nikki Haley,Republican Party,President,,Ridgefield,17,Yanity Gym - 3
Donald J. Trump,Republican Party,President,,Ridgefield,73,Yanity Gym - 3
Ryan Binkley,Republican Party,President,,Ridgefield,2,Yanity Gym - 3
Uncommitted,Republican Party,President,,Ridgefield,7,Yanity Gym - 3
Ron DeSantis,Republican Party,President,,Rocky Hill,1,Griswold Middle School
Nikki Haley,Republican Party,President,,Rocky Hill,8,Griswold Middle School
Donald J. Trump,Republican Party,President,,Rocky Hill,44,Griswold Middle School
Ryan Binkley,Republican Party,President,,Rocky Hill,0,Griswold Middle School
Uncommitted,Republican Party,President,,Rocky Hill,4,Griswold Middle School
Ron DeSantis,Republican Party,President,,Rocky Hill,3,Moser School
Nikki Haley,Republican Party,President,,Rocky Hill,11,Moser School
Donald J. Trump,Republican Party,President,,Rocky Hill,85,Moser School
Ryan Binkley,Republican Party,President,,Rocky Hill,2,Moser School
Uncommitted,Republican Party,President,,Rocky Hill,2,Moser School
Ron DeSantis,Republican Party,President,,Rocky Hill,3,West Hill School
Nikki Haley,Republican Party,President,,Rocky Hill,10,West Hill School
Donald J. Trump,Republican Party,President,,Rocky Hill,69,West Hill School
Ryan Binkley,Republican Party,President,,Rocky Hill,0,West Hill School
Uncommitted,Republican Party,President,,Rocky Hill,4,West Hill School
Ron DeSantis,Republican Party,President,,Roxbury,2,Roxbury Town Hall
Nikki Haley,Republican Party,President,,Roxbury,13,Roxbury Town Hall
Donald J. Trump,Republican Party,President,,Roxbury,54,Roxbury Town Hall
Ryan Binkley,Republican Party,President,,Roxbury,0,Roxbury Town Hall
Uncommitted,Republican Party,President,,Roxbury,5,Roxbury Town Hall
Ron DeSantis,Republican Party,President,,Salem,3,Salem Town Office Building Room 1
Nikki Haley,Republican Party,President,,Salem,11,Salem Town Office Building Room 1
Donald J. Trump,Republican Party,President,,Salem,38,Salem Town Office Building Room 1
Ryan Binkley,Republican Party,President,,Salem,0,Salem Town Office Building Room 1
Uncommitted,Republican Party,President,,Salem,4,Salem Town Office Building Room 1
Ron DeSantis,Republican Party,President,,Salem,0,Salem Town Office Building Room 2
Nikki Haley,Republican Party,President,,Salem,18,Salem Town Office Building Room 2
Donald J. Trump,Republican Party,President,,Salem,51,Salem Town Office Building Room 2
Ryan Binkley,Republican Party,President,,Salem,0,Salem Town Office Building Room 2
Uncommitted,Republican Party,President,,Salem,3,Salem Town Office Building Room 2
Ron DeSantis,Republican Party,President,,Salisbury,1,SALISBURY TOWN HALL
Nikki Haley,Republican Party,President,,Salisbury,11,SALISBURY TOWN HALL
Donald J. Trump,Republican Party,President,,Salisbury,40,SALISBURY TOWN HALL
Ryan Binkley,Republican Party,President,,Salisbury,3,SALISBURY TOWN HALL
Uncommitted,Republican Party,President,,Salisbury,4,SALISBURY TOWN HALL
Ron DeSantis,Republican Party,President,,Scotland,0,Firehouse/community Center
Nikki Haley,Republican Party,President,,Scotland,4,Firehouse/community Center
Donald J. Trump,Republican Party,President,,Scotland,42,Firehouse/community Center
Ryan Binkley,Republican Party,President,,Scotland,0,Firehouse/community Center
Uncommitted,Republican Party,President,,Scotland,1,Firehouse/community Center
Ron DeSantis,Republican Party,President,,Seymour,2,District 1 Community Center
Nikki Haley,Republican Party,President,,Seymour,8,District 1 Community Center
Donald J. Trump,Republican Party,President,,Seymour,88,District 1 Community Center
Ryan Binkley,Republican Party,President,,Seymour,0,District 1 Community Center
Uncommitted,Republican Party,President,,Seymour,2,District 1 Community Center
Ron DeSantis,Republican Party,President,,Seymour,3,District 2 Bungay School
Nikki Haley,Republican Party,President,,Seymour,6,District 2 Bungay School
Donald J. Trump,Republican Party,President,,Seymour,89,District 2 Bungay School
Ryan Binkley,Republican Party,President,,Seymour,0,District 2 Bungay School
Uncommitted,Republican Party,President,,Seymour,1,District 2 Bungay School
Ron DeSantis,Republican Party,President,,Seymour,2,District 3 Chatfield-Lopresti School
Nikki Haley,Republican Party,President,,Seymour,3,District 3 Chatfield-Lopresti School
Donald J. Trump,Republican Party,President,,Seymour,47,District 3 Chatfield-Lopresti School
Ryan Binkley,Republican Party,President,,Seymour,0,District 3 Chatfield-Lopresti School
Uncommitted,Republican Party,President,,Seymour,6,District 3 Chatfield-Lopresti School
Ron DeSantis,Republican Party,President,,Sharon,1,Sharon Town Hall
Nikki Haley,Republican Party,President,,Sharon,9,Sharon Town Hall
Donald J. Trump,Republican Party,President,,Sharon,28,Sharon Town Hall
Ryan Binkley,Republican Party,President,,Sharon,0,Sharon Town Hall
Uncommitted,Republican Party,President,,Sharon,3,Sharon Town Hall
Ron DeSantis,Republican Party,President,,Shelton,3,Elizabeth Shelton School
Nikki Haley,Republican Party,President,,Shelton,20,Elizabeth Shelton School
Donald J. Trump,Republican Party,President,,Shelton,158,Elizabeth Shelton School
Ryan Binkley,Republican Party,President,,Shelton,0,Elizabeth Shelton School
Uncommitted,Republican Party,President,,Shelton,3,Elizabeth Shelton School
Ron DeSantis,Republican Party,President,,Shelton,10,Long Hill School
Nikki Haley,Republican Party,President,,Shelton,18,Long Hill School
Donald J. Trump,Republican Party,President,,Shelton,217,Long Hill School
Ryan Binkley,Republican Party,President,,Shelton,2,Long Hill School
Uncommitted,Republican Party,President,,Shelton,9,Long Hill School
Ron DeSantis,Republican Party,President,,Shelton,4,Mohegan School
Nikki Haley,Republican Party,President,,Shelton,19,Mohegan School
Donald J. Trump,Republican Party,President,,Shelton,166,Mohegan School
Ryan Binkley,Republican Party,President,,Shelton,0,Mohegan School
Uncommitted,Republican Party,President,,Shelton,11,Mohegan School
Ron DeSantis,Republican Party,President,,Shelton,3,Shelton Intermediate School
Nikki Haley,Republican Party,President,,Shelton,32,Shelton Intermediate School
Donald J. Trump,Republican Party,President,,Shelton,342,Shelton Intermediate School
Ryan Binkley,Republican Party,President,,Shelton,4,Shelton Intermediate School
Uncommitted,Republican Party,President,,Shelton,27,Shelton Intermediate School
Ron DeSantis,Republican Party,President,,Sherman,5,Emerg Services Facility - Firehouse- Upper Level
Nikki Haley,Republican Party,President,,Sherman,17,Emerg Services Facility - Firehouse- Upper Level
Donald J. Trump,Republican Party,President,,Sherman,77,Emerg Services Facility - Firehouse- Upper Level
Ryan Binkley,Republican Party,President,,Sherman,0,Emerg Services Facility - Firehouse- Upper Level
Uncommitted,Republican Party,President,,Sherman,7,Emerg Services Facility - Firehouse- Upper Level
Ron DeSantis,Republican Party,President,,Simsbury,9,Henry James Memorial School
Nikki Haley,Republican Party,President,,Simsbury,42,Henry James Memorial School
Donald J. Trump,Republican Party,President,,Simsbury,123,Henry James Memorial School
Ryan Binkley,Republican Party,President,,Simsbury,1,Henry James Memorial School
Uncommitted,Republican Party,President,,Simsbury,13,Henry James Memorial School
Ron DeSantis,Republican Party,President,,Simsbury,7,Henry James Memorial School Temporary D 2
Nikki Haley,Republican Party,President,,Simsbury,19,Henry James Memorial School Temporary D 2
Donald J. Trump,Republican Party,President,,Simsbury,70,Henry James Memorial School Temporary D 2
Ryan Binkley,Republican Party,President,,Simsbury,0,Henry James Memorial School Temporary D 2
Uncommitted,Republican Party,President,,Simsbury,7,Henry James Memorial School Temporary D 2
Ron DeSantis,Republican Party,President,,Simsbury,1,Tariffville School
Nikki Haley,Republican Party,President,,Simsbury,11,Tariffville School
Donald J. Trump,Republican Party,President,,Simsbury,46,Tariffville School
Ryan Binkley,Republican Party,President,,Simsbury,0,Tariffville School
Uncommitted,Republican Party,President,,Simsbury,7,Tariffville School
Ron DeSantis,Republican Party,President,,Simsbury,4,Tootin Hill School
Nikki Haley,Republican Party,President,,Simsbury,27,Tootin Hill School
Donald J. Trump,Republican Party,President,,Simsbury,71,Tootin Hill School
Ryan Binkley,Republican Party,President,,Simsbury,2,Tootin Hill School
Uncommitted,Republican Party,President,,Simsbury,3,Tootin Hill School
Ron DeSantis,Republican Party,President,,Somers,4,Town Hall
Nikki Haley,Republican Party,President,,Somers,40,Town Hall
Donald J. Trump,Republican Party,President,,Somers,257,Town Hall
Ryan Binkley,Republican Party,President,,Somers,0,Town Hall
Uncommitted,Republican Party,President,,Somers,8,Town Hall
Ron DeSantis,Republican Party,President,,Southbury,4,Center Fire House District #1
Nikki Haley,Republican Party,President,,Southbury,22,Center Fire House District #1
Donald J. Trump,Republican Party,President,,Southbury,165,Center Fire House District #1
Ryan Binkley,Republican Party,President,,Southbury,0,Center Fire House District #1
Uncommitted,Republican Party,President,,Southbury,11,Center Fire House District #1
Ron DeSantis,Republican Party,President,,Southbury,0,Southbury Community Building District #3
Nikki Haley,Republican Party,President,,Southbury,9,Southbury Community Building District #3
Donald J. Trump,Republican Party,President,,Southbury,60,Southbury Community Building District #3
Ryan Binkley,Republican Party,President,,Southbury,0,Southbury Community Building District #3
Uncommitted,Republican Party,President,,Southbury,2,Southbury Community Building District #3
Ron DeSantis,Republican Party,President,,Southbury,9,Southbury Public Library District #2
Nikki Haley,Republican Party,President,,Southbury,39,Southbury Public Library District #2
Donald J. Trump,Republican Party,President,,Southbury,182,Southbury Public Library District #2
Ryan Binkley,Republican Party,President,,Southbury,1,Southbury Public Library District #2
Uncommitted,Republican Party,President,,Southbury,17,Southbury Public Library District #2
Ron DeSantis,Republican Party,President,,Southington,1,Depaolo Middle School
Nikki Haley,Republican Party,President,,Southington,6,Depaolo Middle School
Donald J. Trump,Republican Party,President,,Southington,67,Depaolo Middle School
Ryan Binkley,Republican Party,President,,Southington,0,Depaolo Middle School
Uncommitted,Republican Party,President,,Southington,0,Depaolo Middle School
Ron DeSantis,Republican Party,President,,Southington,1,Derynoski School
Nikki Haley,Republican Party,President,,Southington,8,Derynoski School
Donald J. Trump,Republican Party,President,,Southington,80,Derynoski School
Ryan Binkley,Republican Party,President,,Southington,0,Derynoski School
Uncommitted,Republican Party,President,,Southington,2,Derynoski School
Ron DeSantis,Republican Party,President,,Southington,2,Hatton School
Nikki Haley,Republican Party,President,,Southington,11,Hatton School
Donald J. Trump,Republican Party,President,,Southington,56,Hatton School
Ryan Binkley,Republican Party,President,,Southington,0,Hatton School
Uncommitted,Republican Party,President,,Southington,4,Hatton School
Ron DeSantis,Republican Party,President,,Southington,0,Kelley School
Nikki Haley,Republican Party,President,,Southington,6,Kelley School
Donald J. Trump,Republican Party,President,,Southington,31,Kelley School
Ryan Binkley,Republican Party,President,,Southington,0,Kelley School
Uncommitted,Republican Party,President,,Southington,2,Kelley School
Ron DeSantis,Republican Party,President,,Southington,2,Kennedy School
Nikki Haley,Republican Party,President,,Southington,6,Kennedy School
Donald J. Trump,Republican Party,President,,Southington,58,Kennedy School
Ryan Binkley,Republican Party,President,,Southington,0,Kennedy School
Uncommitted,Republican Party,President,,Southington,3,Kennedy School
Ron DeSantis,Republican Party,President,,Southington,2,Oshana School
Nikki Haley,Republican Party,President,,Southington,5,Oshana School
Donald J. Trump,Republican Party,President,,Southington,48,Oshana School
Ryan Binkley,Republican Party,President,,Southington,0,Oshana School
Uncommitted,Republican Party,President,,Southington,2,Oshana School
Ron DeSantis,Republican Party,President,,Southington,0,South End School
Nikki Haley,Republican Party,President,,Southington,9,South End School
Donald J. Trump,Republican Party,President,,Southington,59,South End School
Ryan Binkley,Republican Party,President,,Southington,0,South End School
Uncommitted,Republican Party,President,,Southington,3,South End School
Ron DeSantis,Republican Party,President,,Southington,1,Strong School
Nikki Haley,Republican Party,President,,Southington,12,Strong School
Donald J. Trump,Republican Party,President,,Southington,36,Strong School
Ryan Binkley,Republican Party,President,,Southington,0,Strong School
Uncommitted,Republican Party,President,,Southington,5,Strong School
Ron DeSantis,Republican Party,President,,Southington,1,Thalberg School
Nikki Haley,Republican Party,President,,Southington,7,Thalberg School
Donald J. Trump,Republican Party,President,,Southington,62,Thalberg School
Ryan Binkley,Republican Party,President,,Southington,0,Thalberg School
Uncommitted,Republican Party,President,,Southington,1,Thalberg School
Ron DeSantis,Republican Party,President,,South Windsor,1,Eli Terry School
Nikki Haley,Republican Party,President,,South Windsor,16,Eli Terry School
Donald J. Trump,Republican Party,President,,South Windsor,58,Eli Terry School
Ryan Binkley,Republican Party,President,,South Windsor,0,Eli Terry School
Uncommitted,Republican Party,President,,South Windsor,2,Eli Terry School
Ron DeSantis,Republican Party,President,,South Windsor,4,Phillip R Smith School
Nikki Haley,Republican Party,President,,South Windsor,18,Phillip R Smith School
Donald J. Trump,Republican Party,President,,South Windsor,44,Phillip R Smith School
Ryan Binkley,Republican Party,President,,South Windsor,0,Phillip R Smith School
Uncommitted,Republican Party,President,,South Windsor,4,Phillip R Smith School
Ron DeSantis,Republican Party,President,,South Windsor,0,Pleasant Valley School
Nikki Haley,Republican Party,President,,South Windsor,5,Pleasant Valley School
Donald J. Trump,Republican Party,President,,South Windsor,18,Pleasant Valley School
Ryan Binkley,Republican Party,President,,South Windsor,1,Pleasant Valley School
Uncommitted,Republican Party,President,,South Windsor,1,Pleasant Valley School
Ron DeSantis,Republican Party,President,,South Windsor,1,South Windsor High School-Auxiliary Gym
Nikki Haley,Republican Party,President,,South Windsor,22,South Windsor High School-Auxiliary Gym
Donald J. Trump,Republican Party,President,,South Windsor,64,South Windsor High School-Auxiliary Gym
Ryan Binkley,Republican Party,President,,South Windsor,0,South Windsor High School-Auxiliary Gym
Uncommitted,Republican Party,President,,South Windsor,6,South Windsor High School-Auxiliary Gym
