candidate,party,office,district,town,votes,precinct
Dominic Rapini,REP,United States Senator,,Hartford,1,Environmental Sciences Magnet-Mary Hooker School
Thad Gray,REP,Treasurer,,Hartford,2,Environmental Sciences Magnet-Mary Hooker School
Art Linares,REP,Treasurer,,Hartford,4,Environmental Sciences Magnet-Mary Hooker School
Mark Greenberg,REP,Comptroller,,Hartford,4,Environmental Sciences Magnet-Mary Hooker School
Kurt Miller,REP,Comptroller,,Hartford,2,Environmental Sciences Magnet-Mary Hooker School
Sue Hatfield,REP,Attorney General,,Hartford,4,Environmental Sciences Magnet-Mary Hooker School
John Shaban,REP,Attorney General,,Hartford,2,Environmental Sciences Magnet-Mary Hooker School
Mark Boughton,REP,Governor,,Hartford,7,Grace Lutheran Church
Timothy M Herbst,REP,Governor,,Hartford,3,Grace Lutheran Church
Steve Obsitnik,REP,Governor,,Hartford,4,Grace Lutheran Church
Bob Stefanowski,REP,Governor,,Hartford,8,Grace Lutheran Church
David Stemerman,REP,Governor,,Hartford,12,Grace Lutheran Church
Joe Markley,REP,Lieutenant Governor,,Hartford,10,Grace Lutheran Church
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,8,Grace Lutheran Church
Erin E Stewart,REP,Lieutenant Governor,,Hartford,15,Grace Lutheran Church
Matthew Corey,REP,United States Senator,,Hartford,22,Grace Lutheran Church
Dominic Rapini,REP,United States Senator,,Hartford,10,Grace Lutheran Church
Thad Gray,REP,Treasurer,,Hartford,13,Grace Lutheran Church
Art Linares,REP,Treasurer,,Hartford,18,Grace Lutheran Church
Mark Greenberg,REP,Comptroller,,Hartford,19,Grace Lutheran Church
Kurt Miller,REP,Comptroller,,Hartford,12,Grace Lutheran Church
Sue Hatfield,REP,Attorney General,,Hartford,27,Grace Lutheran Church
John Shaban,REP,Attorney General,,Hartford,6,Grace Lutheran Church
Mark Boughton,REP,Governor,,Hartford,6,Hartford Public Library
Timothy M Herbst,REP,Governor,,Hartford,2,Hartford Public Library
Steve Obsitnik,REP,Governor,,Hartford,7,Hartford Public Library
Bob Stefanowski,REP,Governor,,Hartford,3,Hartford Public Library
David Stemerman,REP,Governor,,Hartford,15,Hartford Public Library
Joe Markley,REP,Lieutenant Governor,,Hartford,11,Hartford Public Library
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,5,Hartford Public Library
Erin E Stewart,REP,Lieutenant Governor,,Hartford,15,Hartford Public Library
Matthew Corey,REP,United States Senator,,Hartford,24,Hartford Public Library
Dominic Rapini,REP,United States Senator,,Hartford,7,Hartford Public Library
Thad Gray,REP,Treasurer,,Hartford,17,Hartford Public Library
Art Linares,REP,Treasurer,,Hartford,12,Hartford Public Library
Mark Greenberg,REP,Comptroller,,Hartford,15,Hartford Public Library
Kurt Miller,REP,Comptroller,,Hartford,14,Hartford Public Library
Sue Hatfield,REP,Attorney General,,Hartford,27,Hartford Public Library
John Shaban,REP,Attorney General,,Hartford,3,Hartford Public Library
Mark Boughton,REP,Governor,,Hartford,7,Hartford Seminary
Timothy M Herbst,REP,Governor,,Hartford,10,Hartford Seminary
Steve Obsitnik,REP,Governor,,Hartford,5,Hartford Seminary
Bob Stefanowski,REP,Governor,,Hartford,7,Hartford Seminary
David Stemerman,REP,Governor,,Hartford,24,Hartford Seminary
Joe Markley,REP,Lieutenant Governor,,Hartford,15,Hartford Seminary
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,8,Hartford Seminary
Erin E Stewart,REP,Lieutenant Governor,,Hartford,31,Hartford Seminary
Matthew Corey,REP,United States Senator,,Hartford,44,Hartford Seminary
Dominic Rapini,REP,United States Senator,,Hartford,8,Hartford Seminary
Thad Gray,REP,Treasurer,,Hartford,21,Hartford Seminary
Art Linares,REP,Treasurer,,Hartford,29,Hartford Seminary
Mark Greenberg,REP,Comptroller,,Hartford,30,Hartford Seminary
Kurt Miller,REP,Comptroller,,Hartford,21,Hartford Seminary
Sue Hatfield,REP,Attorney General,,Hartford,46,Hartford Seminary
John Shaban,REP,Attorney General,,Hartford,6,Hartford Seminary
Mark Boughton,REP,Governor,,Hartford,0,House Of Restoration Church - Gym
Timothy M Herbst,REP,Governor,,Hartford,0,House Of Restoration Church - Gym
Steve Obsitnik,REP,Governor,,Hartford,0,House Of Restoration Church - Gym
Bob Stefanowski,REP,Governor,,Hartford,3,House Of Restoration Church - Gym
David Stemerman,REP,Governor,,Hartford,2,House Of Restoration Church - Gym
Joe Markley,REP,Lieutenant Governor,,Hartford,2,House Of Restoration Church - Gym
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,0,House Of Restoration Church - Gym
Erin E Stewart,REP,Lieutenant Governor,,Hartford,2,House Of Restoration Church - Gym
Matthew Corey,REP,United States Senator,,Hartford,2,House Of Restoration Church - Gym
Dominic Rapini,REP,United States Senator,,Hartford,1,House Of Restoration Church - Gym
Thad Gray,REP,Treasurer,,Hartford,2,House Of Restoration Church - Gym
Art Linares,REP,Treasurer,,Hartford,2,House Of Restoration Church - Gym
Mark Greenberg,REP,Comptroller,,Hartford,1,House Of Restoration Church - Gym
Kurt Miller,REP,Comptroller,,Hartford,2,House Of Restoration Church - Gym
Sue Hatfield,REP,Attorney General,,Hartford,2,House Of Restoration Church - Gym
John Shaban,REP,Attorney General,,Hartford,1,House Of Restoration Church - Gym
Mark Boughton,REP,Governor,,Hartford,5,Kennelly School - Gym
Timothy M Herbst,REP,Governor,,Hartford,2,Kennelly School - Gym
Steve Obsitnik,REP,Governor,,Hartford,6,Kennelly School - Gym
Bob Stefanowski,REP,Governor,,Hartford,4,Kennelly School - Gym
David Stemerman,REP,Governor,,Hartford,4,Kennelly School - Gym
Joe Markley,REP,Lieutenant Governor,,Hartford,6,Kennelly School - Gym
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,3,Kennelly School - Gym
Erin E Stewart,REP,Lieutenant Governor,,Hartford,10,Kennelly School - Gym
Matthew Corey,REP,United States Senator,,Hartford,13,Kennelly School - Gym
Dominic Rapini,REP,United States Senator,,Hartford,5,Kennelly School - Gym
Thad Gray,REP,Treasurer,,Hartford,6,Kennelly School - Gym
Art Linares,REP,Treasurer,,Hartford,12,Kennelly School - Gym
Mark Greenberg,REP,Comptroller,,Hartford,11,Kennelly School - Gym
Kurt Miller,REP,Comptroller,,Hartford,7,Kennelly School - Gym
Sue Hatfield,REP,Attorney General,,Hartford,12,Kennelly School - Gym
John Shaban,REP,Attorney General,,Hartford,9,Kennelly School - Gym
Mark Boughton,REP,Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Mark Boughton,REP,Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Timothy M Herbst,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Timothy M Herbst,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Steve Obsitnik,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Steve Obsitnik,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Bob Stefanowski,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Bob Stefanowski,REP,Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
David Stemerman,REP,Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
David Stemerman,REP,Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Joe Markley,REP,Lieutenant Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Joe Markley,REP,Lieutenant Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Erin E Stewart,REP,Lieutenant Governor,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Erin E Stewart,REP,Lieutenant Governor,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Matthew Corey,REP,United States Senator,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Matthew Corey,REP,United States Senator,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Dominic Rapini,REP,United States Senator,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Dominic Rapini,REP,United States Senator,,Hartford,2,Liberty Christian Center-Formerly Horace Bushnell
Thad Gray,REP,Treasurer,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Thad Gray,REP,Treasurer,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Art Linares,REP,Treasurer,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Art Linares,REP,Treasurer,,Hartford,3,Liberty Christian Center-Formerly Horace Bushnell
Mark Greenberg,REP,Comptroller,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Mark Greenberg,REP,Comptroller,,Hartford,3,Liberty Christian Center-Formerly Horace Bushnell
Kurt Miller,REP,Comptroller,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
Kurt Miller,REP,Comptroller,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Sue Hatfield,REP,Attorney General,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Sue Hatfield,REP,Attorney General,,Hartford,3,Liberty Christian Center-Formerly Horace Bushnell
John Shaban,REP,Attorney General,,Hartford,0,Liberty Christian Center-Formerly Horace Bushnell
John Shaban,REP,Attorney General,,Hartford,1,Liberty Christian Center-Formerly Horace Bushnell
Mark Boughton,REP,Governor,,Hartford,0,Mary Shepard Place Community Room
Timothy M Herbst,REP,Governor,,Hartford,0,Mary Shepard Place Community Room
Steve Obsitnik,REP,Governor,,Hartford,0,Mary Shepard Place Community Room
Bob Stefanowski,REP,Governor,,Hartford,0,Mary Shepard Place Community Room
David Stemerman,REP,Governor,,Hartford,0,Mary Shepard Place Community Room
Joe Markley,REP,Lieutenant Governor,,Hartford,0,Mary Shepard Place Community Room
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,0,Mary Shepard Place Community Room
Erin E Stewart,REP,Lieutenant Governor,,Hartford,0,Mary Shepard Place Community Room
Matthew Corey,REP,United States Senator,,Hartford,0,Mary Shepard Place Community Room
Dominic Rapini,REP,United States Senator,,Hartford,0,Mary Shepard Place Community Room
Thad Gray,REP,Treasurer,,Hartford,1,Mary Shepard Place Community Room
Art Linares,REP,Treasurer,,Hartford,0,Mary Shepard Place Community Room
Mark Greenberg,REP,Comptroller,,Hartford,0,Mary Shepard Place Community Room
Kurt Miller,REP,Comptroller,,Hartford,0,Mary Shepard Place Community Room
Sue Hatfield,REP,Attorney General,,Hartford,0,Mary Shepard Place Community Room
John Shaban,REP,Attorney General,,Hartford,0,Mary Shepard Place Community Room
Mark Boughton,REP,Governor,,Hartford,5,Metzner Center
Timothy M Herbst,REP,Governor,,Hartford,6,Metzner Center
Steve Obsitnik,REP,Governor,,Hartford,3,Metzner Center
Bob Stefanowski,REP,Governor,,Hartford,8,Metzner Center
David Stemerman,REP,Governor,,Hartford,7,Metzner Center
Joe Markley,REP,Lieutenant Governor,,Hartford,14,Metzner Center
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,6,Metzner Center
Erin E Stewart,REP,Lieutenant Governor,,Hartford,10,Metzner Center
Matthew Corey,REP,United States Senator,,Hartford,22,Metzner Center
Dominic Rapini,REP,United States Senator,,Hartford,4,Metzner Center
Thad Gray,REP,Treasurer,,Hartford,10,Metzner Center
Art Linares,REP,Treasurer,,Hartford,16,Metzner Center
Mark Greenberg,REP,Comptroller,,Hartford,20,Metzner Center
Kurt Miller,REP,Comptroller,,Hartford,6,Metzner Center
Sue Hatfield,REP,Attorney General,,Hartford,23,Metzner Center
John Shaban,REP,Attorney General,,Hartford,4,Metzner Center
Mark Boughton,REP,Governor,,Hartford,1,North End Senior Center
Timothy M Herbst,REP,Governor,,Hartford,1,North End Senior Center
Steve Obsitnik,REP,Governor,,Hartford,0,North End Senior Center
Bob Stefanowski,REP,Governor,,Hartford,2,North End Senior Center
David Stemerman,REP,Governor,,Hartford,0,North End Senior Center
Joe Markley,REP,Lieutenant Governor,,Hartford,1,North End Senior Center
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,2,North End Senior Center
Erin E Stewart,REP,Lieutenant Governor,,Hartford,1,North End Senior Center
Matthew Corey,REP,United States Senator,,Hartford,3,North End Senior Center
Dominic Rapini,REP,United States Senator,,Hartford,1,North End Senior Center
Thad Gray,REP,Treasurer,,Hartford,2,North End Senior Center
Art Linares,REP,Treasurer,,Hartford,1,North End Senior Center
Mark Greenberg,REP,Comptroller,,Hartford,2,North End Senior Center
Kurt Miller,REP,Comptroller,,Hartford,2,North End Senior Center
Sue Hatfield,REP,Attorney General,,Hartford,3,North End Senior Center
John Shaban,REP,Attorney General,,Hartford,1,North End Senior Center
Mark Boughton,REP,Governor,,Hartford,1,Parker Memorial Community Center
Timothy M Herbst,REP,Governor,,Hartford,0,Parker Memorial Community Center
Steve Obsitnik,REP,Governor,,Hartford,1,Parker Memorial Community Center
Bob Stefanowski,REP,Governor,,Hartford,3,Parker Memorial Community Center
David Stemerman,REP,Governor,,Hartford,0,Parker Memorial Community Center
Joe Markley,REP,Lieutenant Governor,,Hartford,2,Parker Memorial Community Center
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,1,Parker Memorial Community Center
Erin E Stewart,REP,Lieutenant Governor,,Hartford,1,Parker Memorial Community Center
Matthew Corey,REP,United States Senator,,Hartford,4,Parker Memorial Community Center
Dominic Rapini,REP,United States Senator,,Hartford,0,Parker Memorial Community Center
Thad Gray,REP,Treasurer,,Hartford,4,Parker Memorial Community Center
Art Linares,REP,Treasurer,,Hartford,1,Parker Memorial Community Center
Mark Greenberg,REP,Comptroller,,Hartford,4,Parker Memorial Community Center
Kurt Miller,REP,Comptroller,,Hartford,1,Parker Memorial Community Center
Sue Hatfield,REP,Attorney General,,Hartford,5,Parker Memorial Community Center
John Shaban,REP,Attorney General,,Hartford,0,Parker Memorial Community Center
Mark Boughton,REP,Governor,,Hartford,1,Parkville Community School
Timothy M Herbst,REP,Governor,,Hartford,3,Parkville Community School
Steve Obsitnik,REP,Governor,,Hartford,2,Parkville Community School
Bob Stefanowski,REP,Governor,,Hartford,0,Parkville Community School
David Stemerman,REP,Governor,,Hartford,0,Parkville Community School
Joe Markley,REP,Lieutenant Governor,,Hartford,2,Parkville Community School
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,3,Parkville Community School
Erin E Stewart,REP,Lieutenant Governor,,Hartford,1,Parkville Community School
Matthew Corey,REP,United States Senator,,Hartford,3,Parkville Community School
Dominic Rapini,REP,United States Senator,,Hartford,3,Parkville Community School
Thad Gray,REP,Treasurer,,Hartford,0,Parkville Community School
Art Linares,REP,Treasurer,,Hartford,5,Parkville Community School
Mark Greenberg,REP,Comptroller,,Hartford,4,Parkville Community School
Kurt Miller,REP,Comptroller,,Hartford,1,Parkville Community School
Sue Hatfield,REP,Attorney General,,Hartford,4,Parkville Community School
John Shaban,REP,Attorney General,,Hartford,1,Parkville Community School
Mark Boughton,REP,Governor,,Hartford,0,Rawson School - Gym
Timothy M Herbst,REP,Governor,,Hartford,2,Rawson School - Gym
Steve Obsitnik,REP,Governor,,Hartford,2,Rawson School - Gym
Bob Stefanowski,REP,Governor,,Hartford,2,Rawson School - Gym
David Stemerman,REP,Governor,,Hartford,0,Rawson School - Gym
Joe Markley,REP,Lieutenant Governor,,Hartford,1,Rawson School - Gym
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,1,Rawson School - Gym
Erin E Stewart,REP,Lieutenant Governor,,Hartford,4,Rawson School - Gym
Matthew Corey,REP,United States Senator,,Hartford,2,Rawson School - Gym
Dominic Rapini,REP,United States Senator,,Hartford,3,Rawson School - Gym
Thad Gray,REP,Treasurer,,Hartford,1,Rawson School - Gym
Art Linares,REP,Treasurer,,Hartford,4,Rawson School - Gym
Mark Greenberg,REP,Comptroller,,Hartford,5,Rawson School - Gym
Kurt Miller,REP,Comptroller,,Hartford,0,Rawson School - Gym
Sue Hatfield,REP,Attorney General,,Hartford,7,Rawson School - Gym
John Shaban,REP,Attorney General,,Hartford,0,Rawson School - Gym
Mark Boughton,REP,Governor,,Hartford,3,South End Senior Wellness Center
Timothy M Herbst,REP,Governor,,Hartford,2,South End Senior Wellness Center
Steve Obsitnik,REP,Governor,,Hartford,3,South End Senior Wellness Center
Bob Stefanowski,REP,Governor,,Hartford,3,South End Senior Wellness Center
David Stemerman,REP,Governor,,Hartford,2,South End Senior Wellness Center
Joe Markley,REP,Lieutenant Governor,,Hartford,4,South End Senior Wellness Center
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,1,South End Senior Wellness Center
Erin E Stewart,REP,Lieutenant Governor,,Hartford,7,South End Senior Wellness Center
Matthew Corey,REP,United States Senator,,Hartford,9,South End Senior Wellness Center
Dominic Rapini,REP,United States Senator,,Hartford,3,South End Senior Wellness Center
Thad Gray,REP,Treasurer,,Hartford,6,South End Senior Wellness Center
Art Linares,REP,Treasurer,,Hartford,6,South End Senior Wellness Center
Mark Greenberg,REP,Comptroller,,Hartford,8,South End Senior Wellness Center
Kurt Miller,REP,Comptroller,,Hartford,4,South End Senior Wellness Center
Sue Hatfield,REP,Attorney General,,Hartford,9,South End Senior Wellness Center
John Shaban,REP,Attorney General,,Hartford,3,South End Senior Wellness Center
Mark Boughton,REP,Governor,,Hartford,3,The Learning Corridor - Gym
Timothy M Herbst,REP,Governor,,Hartford,1,The Learning Corridor - Gym
Steve Obsitnik,REP,Governor,,Hartford,0,The Learning Corridor - Gym
Bob Stefanowski,REP,Governor,,Hartford,3,The Learning Corridor - Gym
David Stemerman,REP,Governor,,Hartford,3,The Learning Corridor - Gym
Joe Markley,REP,Lieutenant Governor,,Hartford,5,The Learning Corridor - Gym
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,2,The Learning Corridor - Gym
Erin E Stewart,REP,Lieutenant Governor,,Hartford,2,The Learning Corridor - Gym
Matthew Corey,REP,United States Senator,,Hartford,8,The Learning Corridor - Gym
Dominic Rapini,REP,United States Senator,,Hartford,1,The Learning Corridor - Gym
Thad Gray,REP,Treasurer,,Hartford,4,The Learning Corridor - Gym
Art Linares,REP,Treasurer,,Hartford,5,The Learning Corridor - Gym
Mark Greenberg,REP,Comptroller,,Hartford,4,The Learning Corridor - Gym
Kurt Miller,REP,Comptroller,,Hartford,5,The Learning Corridor - Gym
Sue Hatfield,REP,Attorney General,,Hartford,7,The Learning Corridor - Gym
John Shaban,REP,Attorney General,,Hartford,2,The Learning Corridor - Gym
Mark Boughton,REP,Governor,,Hartford,9,United Methodist Church
Timothy M Herbst,REP,Governor,,Hartford,3,United Methodist Church
Steve Obsitnik,REP,Governor,,Hartford,4,United Methodist Church
Bob Stefanowski,REP,Governor,,Hartford,7,United Methodist Church
David Stemerman,REP,Governor,,Hartford,7,United Methodist Church
Joe Markley,REP,Lieutenant Governor,,Hartford,16,United Methodist Church
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,4,United Methodist Church
Erin E Stewart,REP,Lieutenant Governor,,Hartford,11,United Methodist Church
Matthew Corey,REP,United States Senator,,Hartford,23,United Methodist Church
Dominic Rapini,REP,United States Senator,,Hartford,5,United Methodist Church
Thad Gray,REP,Treasurer,,Hartford,14,United Methodist Church
Art Linares,REP,Treasurer,,Hartford,14,United Methodist Church
Mark Greenberg,REP,Comptroller,,Hartford,11,United Methodist Church
Kurt Miller,REP,Comptroller,,Hartford,18,United Methodist Church
Sue Hatfield,REP,Attorney General,,Hartford,20,United Methodist Church
John Shaban,REP,Attorney General,,Hartford,9,United Methodist Church
Mark Boughton,REP,Governor,,Hartford,1,United Way Of The Capital Area
Timothy M Herbst,REP,Governor,,Hartford,2,United Way Of The Capital Area
Steve Obsitnik,REP,Governor,,Hartford,3,United Way Of The Capital Area
Bob Stefanowski,REP,Governor,,Hartford,4,United Way Of The Capital Area
David Stemerman,REP,Governor,,Hartford,1,United Way Of The Capital Area
Joe Markley,REP,Lieutenant Governor,,Hartford,2,United Way Of The Capital Area
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,5,United Way Of The Capital Area
Erin E Stewart,REP,Lieutenant Governor,,Hartford,4,United Way Of The Capital Area
Matthew Corey,REP,United States Senator,,Hartford,9,United Way Of The Capital Area
Dominic Rapini,REP,United States Senator,,Hartford,2,United Way Of The Capital Area
Thad Gray,REP,Treasurer,,Hartford,4,United Way Of The Capital Area
Art Linares,REP,Treasurer,,Hartford,6,United Way Of The Capital Area
Mark Greenberg,REP,Comptroller,,Hartford,6,United Way Of The Capital Area
Kurt Miller,REP,Comptroller,,Hartford,4,United Way Of The Capital Area
Sue Hatfield,REP,Attorney General,,Hartford,6,United Way Of The Capital Area
John Shaban,REP,Attorney General,,Hartford,4,United Way Of The Capital Area
Mark Boughton,REP,Governor,,Hartford,4,Y W C A
Timothy M Herbst,REP,Governor,,Hartford,1,Y W C A
Steve Obsitnik,REP,Governor,,Hartford,1,Y W C A
Bob Stefanowski,REP,Governor,,Hartford,0,Y W C A
David Stemerman,REP,Governor,,Hartford,3,Y W C A
Joe Markley,REP,Lieutenant Governor,,Hartford,2,Y W C A
Jayme Stevenson,REP,Lieutenant Governor,,Hartford,1,Y W C A
Erin E Stewart,REP,Lieutenant Governor,,Hartford,6,Y W C A
Matthew Corey,REP,United States Senator,,Hartford,7,Y W C A
Dominic Rapini,REP,United States Senator,,Hartford,2,Y W C A
Thad Gray,REP,Treasurer,,Hartford,5,Y W C A
Art Linares,REP,Treasurer,,Hartford,4,Y W C A
Mark Greenberg,REP,Comptroller,,Hartford,0,Y W C A
Kurt Miller,REP,Comptroller,,Hartford,9,Y W C A
Sue Hatfield,REP,Attorney General,,Hartford,6,Y W C A
John Shaban,REP,Attorney General,,Hartford,3,Y W C A
Mark Boughton,REP,Governor,,Hartland,26,Hartland Town Hall
Timothy M Herbst,REP,Governor,,Hartland,77,Hartland Town Hall
Steve Obsitnik,REP,Governor,,Hartland,38,Hartland Town Hall
Bob Stefanowski,REP,Governor,,Hartland,51,Hartland Town Hall
David Stemerman,REP,Governor,,Hartland,30,Hartland Town Hall
Joe Markley,REP,Lieutenant Governor,,Hartland,159,Hartland Town Hall
Jayme Stevenson,REP,Lieutenant Governor,,Hartland,23,Hartland Town Hall
Erin E Stewart,REP,Lieutenant Governor,,Hartland,38,Hartland Town Hall
Matthew Corey,REP,United States Senator,,Hartland,181,Hartland Town Hall
Dominic Rapini,REP,United States Senator,,Hartland,32,Hartland Town Hall
Thad Gray,REP,Treasurer,,Hartland,110,Hartland Town Hall
Art Linares,REP,Treasurer,,Hartland,105,Hartland Town Hall
Mark Greenberg,REP,Comptroller,,Hartland,104,Hartland Town Hall
Kurt Miller,REP,Comptroller,,Hartland,106,Hartland Town Hall
Sue Hatfield,REP,Attorney General,,Hartland,164,Hartland Town Hall
John Shaban,REP,Attorney General,,Hartland,50,Hartland Town Hall
Mark Boughton,REP,Governor,,Harwinton,0,Assembly Hall
Mark Boughton,REP,Governor,,Harwinton,67,Assembly Hall
Timothy M Herbst,REP,Governor,,Harwinton,0,Assembly Hall
Timothy M Herbst,REP,Governor,,Harwinton,111,Assembly Hall
Steve Obsitnik,REP,Governor,,Harwinton,0,Assembly Hall
Steve Obsitnik,REP,Governor,,Harwinton,58,Assembly Hall
Bob Stefanowski,REP,Governor,,Harwinton,0,Assembly Hall
Bob Stefanowski,REP,Governor,,Harwinton,154,Assembly Hall
David Stemerman,REP,Governor,,Harwinton,0,Assembly Hall
David Stemerman,REP,Governor,,Harwinton,121,Assembly Hall
Joe Markley,REP,Lieutenant Governor,,Harwinton,0,Assembly Hall
Joe Markley,REP,Lieutenant Governor,,Harwinton,273,Assembly Hall
Jayme Stevenson,REP,Lieutenant Governor,,Harwinton,0,Assembly Hall
Jayme Stevenson,REP,Lieutenant Governor,,Harwinton,64,Assembly Hall
Erin E Stewart,REP,Lieutenant Governor,,Harwinton,0,Assembly Hall
Erin E Stewart,REP,Lieutenant Governor,,Harwinton,168,Assembly Hall
Matthew Corey,REP,United States Senator,,Harwinton,0,Assembly Hall
Matthew Corey,REP,United States Senator,,Harwinton,375,Assembly Hall
Dominic Rapini,REP,United States Senator,,Harwinton,0,Assembly Hall
Dominic Rapini,REP,United States Senator,,Harwinton,93,Assembly Hall
Manny Santos,REP,U.S. House,5,Harwinton,0,Assembly Hall
Manny Santos,REP,U.S. House,5,Harwinton,229,Assembly Hall
Ruby Corby-O'Neill,REP,U.S. House,5,Harwinton,0,Assembly Hall
Ruby Corby-O'Neill,REP,U.S. House,5,Harwinton,134,Assembly Hall
Richard DuPont,REP,U.S. House,5,Harwinton,0,Assembly Hall
Richard DuPont,REP,U.S. House,5,Harwinton,116,Assembly Hall
Thad Gray,REP,Treasurer,,Harwinton,0,Assembly Hall
Thad Gray,REP,Treasurer,,Harwinton,274,Assembly Hall
Art Linares,REP,Treasurer,,Harwinton,0,Assembly Hall
Art Linares,REP,Treasurer,,Harwinton,194,Assembly Hall
Mark Greenberg,REP,Comptroller,,Harwinton,0,Assembly Hall
Mark Greenberg,REP,Comptroller,,Harwinton,287,Assembly Hall
Kurt Miller,REP,Comptroller,,Harwinton,0,Assembly Hall
Kurt Miller,REP,Comptroller,,Harwinton,191,Assembly Hall
Sue Hatfield,REP,Attorney General,,Harwinton,0,Assembly Hall
Sue Hatfield,REP,Attorney General,,Harwinton,389,Assembly Hall
John Shaban,REP,Attorney General,,Harwinton,0,Assembly Hall
John Shaban,REP,Attorney General,,Harwinton,90,Assembly Hall
Mark Boughton,REP,Governor,,Hebron,84,Hebron Elementary School
Timothy M Herbst,REP,Governor,,Hebron,96,Hebron Elementary School
Steve Obsitnik,REP,Governor,,Hebron,78,Hebron Elementary School
Bob Stefanowski,REP,Governor,,Hebron,182,Hebron Elementary School
David Stemerman,REP,Governor,,Hebron,178,Hebron Elementary School
Joe Markley,REP,Lieutenant Governor,,Hebron,233,Hebron Elementary School
Jayme Stevenson,REP,Lieutenant Governor,,Hebron,109,Hebron Elementary School
Erin E Stewart,REP,Lieutenant Governor,,Hebron,264,Hebron Elementary School
Matthew Corey,REP,United States Senator,,Hebron,454,Hebron Elementary School
Dominic Rapini,REP,United States Senator,,Hebron,118,Hebron Elementary School
Thad Gray,REP,Treasurer,,Hebron,347,Hebron Elementary School
Art Linares,REP,Treasurer,,Hebron,234,Hebron Elementary School
Mark Greenberg,REP,Comptroller,,Hebron,285,Hebron Elementary School
Kurt Miller,REP,Comptroller,,Hebron,285,Hebron Elementary School
Sue Hatfield,REP,Attorney General,,Hebron,481,Hebron Elementary School
John Shaban,REP,Attorney General,,Hebron,104,Hebron Elementary School
Mark Boughton,REP,Governor,,Kent,78,Town Hall
Timothy M Herbst,REP,Governor,,Kent,16,Town Hall
Steve Obsitnik,REP,Governor,,Kent,21,Town Hall
Bob Stefanowski,REP,Governor,,Kent,32,Town Hall
David Stemerman,REP,Governor,,Kent,18,Town Hall
Joe Markley,REP,Lieutenant Governor,,Kent,78,Town Hall
Jayme Stevenson,REP,Lieutenant Governor,,Kent,32,Town Hall
Erin E Stewart,REP,Lieutenant Governor,,Kent,48,Town Hall
Matthew Corey,REP,United States Senator,,Kent,139,Town Hall
Dominic Rapini,REP,United States Senator,,Kent,16,Town Hall
Manny Santos,REP,U.S. House,5,Kent,54,Town Hall
Ruby Corby-O'Neill,REP,U.S. House,5,Kent,79,Town Hall
Richard DuPont,REP,U.S. House,5,Kent,23,Town Hall
Thad Gray,REP,Treasurer,,Kent,110,Town Hall
Art Linares,REP,Treasurer,,Kent,47,Town Hall
Mark Greenberg,REP,Comptroller,,Kent,81,Town Hall
