County,Precinct,Office,District,Party,,Poll,Abs,EDR
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,DEM,Denise Nappier,364,51,5
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,WF,Denise Nappier,27,1,3
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,UNK,Denise Nappier,28,1,0
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,REP,Sharon McLaughlin,56,3,2
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,IND,Sharon McLaughlin,5,0,1
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,DEM,Kevin Lembo,364,50,4
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,WF,Kevin Lembo,25,0,2
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,IND,Kevin Lembo,24,0,0
Fairfield,Bridgeport 130-1 Bassic,Comptroller,,Green,Rolf Maurer,6,0,0
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,REP,Kie Westby,55,3,2
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,IND,Kie Westby,3,0,0
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,DEM,George Jepsen,367,52,6
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,WF,George Jepsen,26,0,2
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,UNK,George Jepsen,26,0,0
Fairfield,Bridgeport 130-1 Bassic,Attorney General,,Green,Stephen Fournier,6,0,0
Fairfield,Bridgeport 130-2 Bassic,Governor,,REP,Thomas C. Foley,54,2,1
Fairfield,Bridgeport 130-2 Bassic,Governor,,IND,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 130-2 Bassic,Governor,,UNK,Thomas C. Foley,1,0,0
Fairfield,Bridgeport 130-2 Bassic,Governor,,DEM,Dannel P. Malloy,235,8,8
Fairfield,Bridgeport 130-2 Bassic,Governor,,WF,Dannel P. Malloy,21,0,0
Fairfield,Bridgeport 130-2 Bassic,Governor,,UNK,Dannel P. Malloy,41,0,0
Fairfield,Bridgeport 130-2 Bassic,Governor,,PC,Joe Visconti,1,0,0
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,REP,Dan Debicella,43,2,0
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,IND,Dan Debicella,3,0,0
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,DEM,Jim Himes,245,8,8
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,WF,Jim Himes,23,0,1
Fairfield,Bridgeport 130-2 Bassic,U.S. House,4,UNK,Jim Himes,24,0,0
Fairfield,Bridgeport 130-2 Bassic,State Senate,22,REP,Enrico Costatini,41,2,1
Fairfield,Bridgeport 130-2 Bassic,State Senate,13,DEM,Marilyn Moore,235,6,8
Fairfield,Bridgeport 130-2 Bassic,State Senate,13,WF,Marilyn Moore,24,0,0
Fairfield,Bridgeport 130-2 Bassic,State Senate,13,UNK,Marilyn Moore,24,0,0
Fairfield,Bridgeport 130-2 Bassic,State Assembly,130,REP,David Goodman,39,0,0
Fairfield,Bridgeport 130-2 Bassic,State Assembly,130,DEM,Ezequiel Santiago,269,7,7
Fairfield,Bridgeport 130-2 Bassic,State Assembly,130,P&P,Joel Gonzales,17,2,1
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,REP,Peter Lumaj,37,2,0
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,IND,Peter Lumaj,3,0,0
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,DEM,Denise Merrill,235,8,9
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,WF,Denise Merrill,22,0,0
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,UNK,Denise Merrill,20,0,0
Fairfield,Bridgeport 130-2 Bassic,Secretary of State,,Green,Michael DeRosa,3,0,0
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,REP,Tim Herbst,43,2,2
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,IND,Tim Herbst,3,0,0
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,DEM,Denise Nappier,232,8,7
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,WF,Denise Nappier,22,0,0
Fairfield,Bridgeport 130-2 Bassic,State Treasurer,,UNK,Denise Nappier,22,0,0
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,REP,Sharon McLaughlin,42,2,2
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,IND,Sharon McLaughlin,3,0,0
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,DEM,Kevin Lembo,226,8,7
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,WF,Kevin Lembo,21,0,0
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,IND,Kevin Lembo,19,0,0
Fairfield,Bridgeport 130-2 Bassic,Comptroller,,Green,Rolf Maurer,4,0,0
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,REP,Kie Westby,37,2,2
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,IND,Kie Westby,3,0,0
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,DEM,George Jepsen,232,8,7
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,WF,George Jepsen,19,0,0
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,UNK,George Jepsen,21,0,0
Fairfield,Bridgeport 130-2 Bassic,Attorney General,,Green,Stephen Fournier,8,0,0
Fairfield,Bridgeport 130-3 City Hall,Governor,,REP,Thomas C. Foley,39,7,4
Fairfield,Bridgeport 130-3 City Hall,Governor,,IND,Thomas C. Foley,3,0,0
Fairfield,Bridgeport 130-3 City Hall,Governor,,UNK,Thomas C. Foley,0,0,0
Fairfield,Bridgeport 130-3 City Hall,Governor,,DEM,Dannel P. Malloy,198,46,3
Fairfield,Bridgeport 130-3 City Hall,Governor,,WF,Dannel P. Malloy,19,1,2
Fairfield,Bridgeport 130-3 City Hall,Governor,,UNK,Dannel P. Malloy,21,6,0
Fairfield,Bridgeport 130-3 City Hall,Governor,,PC,Joe Visconti,2,0,0
Fairfield,Bridgeport 130-3 City Hall,Governor,,write-in,Jonathan Pelto,1,0,0
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,REP,Dan Debicella,26,3,4
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,IND,Dan Debicella,5,0,0
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,DEM,Jim Himes,196,47,3
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,WF,Jim Himes,18,2,2
Fairfield,Bridgeport 130-3 City Hall,U.S. House,4,UNK,Jim Himes,15,2,0
Fairfield,Bridgeport 130-3 City Hall,State Senate,23,DEM,Andres Ayala,201,45,3
Fairfield,Bridgeport 130-3 City Hall,State Senate,23,WF,Andres Ayala,19,1,3
Fairfield,Bridgeport 130-3 City Hall,State Senate,23,UNK,Andres Ayala,13,3,0
Fairfield,Bridgeport 130-3 City Hall,State Assembly,130,REP,David Goodman,32,3,4
Fairfield,Bridgeport 130-3 City Hall,State Assembly,130,DEM,Ezequiel Santiago,210,49,4
Fairfield,Bridgeport 130-3 City Hall,State Assembly,130,P&P,Joel Gonzales,7,1,0
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,REP,Peter Lumaj,30,6,4
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,IND,Peter Lumaj,7,0,0
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,DEM,Denise Merrill,179,42,3
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,WF,Denise Merrill,11,2,2
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,UNK,Denise Merrill,9,0,0
Fairfield,Bridgeport 130-3 City Hall,Secretary of State,,Green,Michael DeRosa,8,0,0
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,REP,Tim Herbst,28,5,4
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,IND,Tim Herbst,8,0,0
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,DEM,Denise Nappier,185,42,2
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,WF,Denise Nappier,15,3,2
Fairfield,Bridgeport 130-3 City Hall,State Treasurer,,UNK,Denise Nappier,10,0,0
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,REP,Sharon McLaughlin,31,3,4
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,IND,Sharon McLaughlin,7,1,1
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,DEM,Kevin Lembo,173,44,2
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,WF,Kevin Lembo,13,0,2
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,IND,Kevin Lembo,8,0,0
Fairfield,Bridgeport 130-3 City Hall,Comptroller,,Green,Rolf Maurer,6,2,0
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,REP,Kie Westby,24,3,4
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,IND,Kie Westby,5,0,0
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,DEM,George Jepsen,185,42,2
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,WF,George Jepsen,12,1,2
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,UNK,George Jepsen,10,0,0
Fairfield,Bridgeport 130-3 City Hall,Attorney General,,Green,Stephen Fournier,6,1,0
Fairfield,Bridgeport 130-4 Batella,Governor,,REP,Thomas C. Foley,111,16,0
Fairfield,Bridgeport 130-4 Batella,Governor,,IND,Thomas C. Foley,13,0,0
Fairfield,Bridgeport 130-4 Batella,Governor,,UNK,Thomas C. Foley,3,0,0
Fairfield,Bridgeport 130-4 Batella,Governor,,DEM,Dannel P. Malloy,521,23,14
Fairfield,Bridgeport 130-4 Batella,Governor,,WF,Dannel P. Malloy,26,0,1
Fairfield,Bridgeport 130-4 Batella,Governor,,UNK,Dannel P. Malloy,63,3,3
Fairfield,Bridgeport 130-4 Batella,Governor,,PC,Joe Visconti,4,0,0
Fairfield,Bridgeport 130-4 Batella,Governor,,write-in,Jonathan Pelto,1,0,0
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,REP,Dan Debicella,96,12,0
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,IND,Dan Debicella,17,0,1
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,DEM,Jim Himes,513,28,15
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,WF,Jim Himes,32,0,1
Fairfield,Bridgeport 130-4 Batella,U.S. House,4,UNK,Jim Himes,48,1,2
Fairfield,Bridgeport 130-4 Batella,State Senate,23,DEM,Andres Ayala,515,24,14
Fairfield,Bridgeport 130-4 Batella,State Senate,23,WF,Andres Ayala,43,0,0
Fairfield,Bridgeport 130-4 Batella,State Senate,23,UNK,Andres Ayala,48,2,3
Fairfield,Bridgeport 130-4 Batella,State Assembly,130,REP,David Goodman,106,13,1
Fairfield,Bridgeport 130-4 Batella,State Assembly,130,DEM,Ezequiel Santiago,539,26,15
Fairfield,Bridgeport 130-4 Batella,State Assembly,130,P&P,Joel Gonzales,29,0,1
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,REP,Peter Lumaj,98,10,0
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,IND,Peter Lumaj,17,0,0
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,DEM,Denise Merrill,478,3,13
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,WF,Denise Merrill,34,0,1
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,UNK,Denise Merrill,26,1,2
Fairfield,Bridgeport 130-4 Batella,Secretary of State,,Green,Michael DeRosa,19,1,2
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,REP,Tim Herbst,97,12,0
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,IND,Tim Herbst,23,1,2
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,DEM,Denise Nappier,482,26,12
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,WF,Denise Nappier,37,0,1
Fairfield,Bridgeport 130-4 Batella,State Treasurer,,UNK,Denise Nappier,23,2,2
Fairfield,Bridgeport 130-4 Batella,Comptroller,,REP,Sharon McLaughlin,94,14,0
Fairfield,Bridgeport 130-4 Batella,Comptroller,,IND,Sharon McLaughlin,22,1,1
Fairfield,Bridgeport 130-4 Batella,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 130-4 Batella,Comptroller,,DEM,Kevin Lembo,479,21,13
Fairfield,Bridgeport 130-4 Batella,Comptroller,,WF,Kevin Lembo,32,0,0
Fairfield,Bridgeport 130-4 Batella,Comptroller,,IND,Kevin Lembo,24,1,2
Fairfield,Bridgeport 130-4 Batella,Comptroller,,Green,Rolf Maurer,10,0,1
Fairfield,Bridgeport 130-4 Batella,Attorney General,,REP,Kie Westby,91,11,1
Fairfield,Bridgeport 130-4 Batella,Attorney General,,IND,Kie Westby,14,0,0
Fairfield,Bridgeport 130-4 Batella,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 130-4 Batella,Attorney General,,DEM,George Jepsen,488,25,11
Fairfield,Bridgeport 130-4 Batella,Attorney General,,WF,George Jepsen,30,0,2
Fairfield,Bridgeport 130-4 Batella,Attorney General,,UNK,George Jepsen,24,1,2
Fairfield,Bridgeport 130-4 Batella,Attorney General,,Green,Stephen Fournier,12,0,1
Fairfield,Bridgeport 130-5 Barnum,Governor,,REP,Thomas C. Foley,46,7,1
Fairfield,Bridgeport 130-5 Barnum,Governor,,IND,Thomas C. Foley,5,1,0
Fairfield,Bridgeport 130-5 Barnum,Governor,,UNK,Thomas C. Foley,5,1,0
Fairfield,Bridgeport 130-5 Barnum,Governor,,DEM,Dannel P. Malloy,363,47,2
Fairfield,Bridgeport 130-5 Barnum,Governor,,WF,Dannel P. Malloy,19,3,0
Fairfield,Bridgeport 130-5 Barnum,Governor,,UNK,Dannel P. Malloy,31,1,0
Fairfield,Bridgeport 130-5 Barnum,Governor,,PC,Joe Visconti,3,0,0
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,REP,Dan Debicella,33,3,0
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,IND,Dan Debicella,5,1,0
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,DEM,Jim Himes,353,42,4
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,WF,Jim Himes,24,2,0
Fairfield,Bridgeport 130-5 Barnum,U.S. House,4,UNK,Jim Himes,27,2,0
Fairfield,Bridgeport 130-5 Barnum,State Senate,23,DEM,Andres Ayala,367,45,3
Fairfield,Bridgeport 130-5 Barnum,State Senate,23,WF,Andres Ayala,27,4,0
Fairfield,Bridgeport 130-5 Barnum,State Senate,23,UNK,Andres Ayala,29,4,0
Fairfield,Bridgeport 130-5 Barnum,State Assembly,130,REP,David Goodman,35,8,0
Fairfield,Bridgeport 130-5 Barnum,State Assembly,130,DEM,Ezequiel Santiago,357,36,3
Fairfield,Bridgeport 130-5 Barnum,State Assembly,130,P&P,Joel Gonzales,11,2,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,REP,Peter Lumaj,38,3,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,IND,Peter Lumaj,7,0,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,DEM,Denise Merrill,326,41,4
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,WF,Denise Merrill,18,2,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,UNK,Denise Merrill,14,0,0
Fairfield,Bridgeport 130-5 Barnum,Secretary of State,,Green,Michael DeRosa,3,1,0
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,REP,Tim Herbst,36,3,0
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,IND,Tim Herbst,6,0,0
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,DEM,Denise Nappier,338,41,5
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,WF,Denise Nappier,22,2,0
Fairfield,Bridgeport 130-5 Barnum,State Treasurer,,UNK,Denise Nappier,17,0,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,REP,Sharon McLaughlin,32,4,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,IND,Sharon McLaughlin,3,1,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,DEM,Kevin Lembo,329,35,4
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,WF,Kevin Lembo,19,3,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,IND,Kevin Lembo,11,0,0
Fairfield,Bridgeport 130-5 Barnum,Comptroller,,Green,Rolf Maurer,4,1,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,REP,Kie Westby,36,4,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,IND,Kie Westby,2,0,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,DEM,George Jepsen,335,37,4
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,WF,George Jepsen,16,3,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,UNK,George Jepsen,12,1,0
Fairfield,Bridgeport 130-5 Barnum,Attorney General,,Green,Stephen Fournier,14,0,0
Fairfield,Bridgeport City CT,Governor,,REP,Thomas C. Foley,4012,251,41
Fairfield,Bridgeport City CT,Governor,,IND,Thomas C. Foley,208,14,4
Fairfield,Bridgeport City CT,Governor,,UNK,Thomas C. Foley,90,16,0
Fairfield,Bridgeport City CT,Governor,,DEM,Dannel P. Malloy,13290,890,170
Fairfield,Bridgeport City CT,Governor,,WF,Dannel P. Malloy,1057,23,21
Fairfield,Bridgeport City CT,Governor,,UNK,Dannel P. Malloy,1357,35,20
Fairfield,Bridgeport City CT,Governor,,PC,Joe Visconti,87,6,2
Fairfield,Bridgeport City CT,Governor,,write-in,Donald Gaita,4,0,0
Fairfield,Bridgeport City CT,Governor,,write-in,Jonathan Pelto,9,0,0
Fairfield,Bridgeport City CT,Governor,,write-in,John Renjilian,1,0,0
Fairfield,Bridgeport City CT,Governor,,write-in,John Traceski,1,0,0
Fairfield,Bridgeport City CT,U.S. House,4,REP,Dan Debicella,3365,178,31
Fairfield,Bridgeport City CT,U.S. House,4,IND,Dan Debicella,233,10,6
Fairfield,Bridgeport City CT,U.S. House,4,UNK,Dan Debicella,40,0,0
Fairfield,Bridgeport City CT,U.S. House,4,DEM,Jim Himes,13439,908,176
Fairfield,Bridgeport City CT,U.S. House,4,WF,Jim Himes,1202,15,24
Fairfield,Bridgeport City CT,U.S. House,4,UNK,Jim Himes,986,42,11
Fairfield,Bridgeport City CT,State Senate,22,REP,Enrico Costatini,1290,51,6
Fairfield,Bridgeport City CT,State Senate,22,DEM,Marilyn Moore,3683,155,38
Fairfield,Bridgeport City CT,State Senate,22,WF,Marilyn Moore,451,8,8
Fairfield,Bridgeport City CT,State Senate,22,UNK,Marilyn Moore,267,5,0
Fairfield,Bridgeport City CT,State Senate,23,DEM,Andres Ayala,7120,533,93
Fairfield,Bridgeport City CT,State Senate,23,WF,Andres Ayala,636,17,15
Fairfield,Bridgeport City CT,State Senate,23,UNK,Andres Ayala,491,20,12
Fairfield,Bridgeport City CT,State Assembly,124,DEM,Andre Baker,2519,182,34
Fairfield,Bridgeport City CT,State Assembly,126,DEM,Charlie Stallworth,3529,80,36
Fairfield,Bridgeport City CT,State Assembly,127,DEM,Jack Hennessey,2572,173,29
Fairfield,Bridgeport City CT,State Assembly,127,WF,Jack Hennessey,379,3,4
Fairfield,Bridgeport City CT,State Assembly,127,UNK,Jack Hennessey,159,4,0
Fairfield,Bridgeport City CT,State Assembly,128,REP,Ethan Book,230,10,2
Fairfield,Bridgeport City CT,State Assembly,128,DEM,Christopher Rosario,1349,136,19
Fairfield,Bridgeport City CT,State Assembly,128,P&P,Angel Reyes,166,4,4
Fairfield,Bridgeport City CT,State Assembly,129,DEM,Auden Grogins,2933,185,23
Fairfield,Bridgeport City CT,State Assembly,130,REP,David Goodman,274,27,7
Fairfield,Bridgeport City CT,State Assembly,130,DEM,Ezequiel Santiago,1766,171,35
Fairfield,Bridgeport City CT,State Assembly,130,P&P,Joel Gonzales,87,5,3
Fairfield,Bridgeport City CT,Secretary of State,,REP,Peter Lumaj,3447,200,32
Fairfield,Bridgeport City CT,Secretary of State,,IND,Peter Lumaj,266,11,4
Fairfield,Bridgeport City CT,Secretary of State,,UNK,Peter Lumaj,14,0,0
Fairfield,Bridgeport City CT,Secretary of State,,DEM,Denise Merrill,12626,823,160
Fairfield,Bridgeport City CT,Secretary of State,,WF,Denise Merrill,1109,21,21
Fairfield,Bridgeport City CT,Secretary of State,,UNK,Denise Merrill,655,11,8
Fairfield,Bridgeport City CT,Secretary of State,,Green,Michael DeRosa,292,15,7
Fairfield,Bridgeport City CT,State Treasurer,,REP,Tim Herbst,3763,209,35
Fairfield,Bridgeport City CT,State Treasurer,,IND,Tim Herbst,339,8,9
Fairfield,Bridgeport City CT,State Treasurer,,UNK,Tim Herbst,11,0,5
Fairfield,Bridgeport City CT,State Treasurer,,DEM,Denise Nappier,12760,850,159
Fairfield,Bridgeport City CT,State Treasurer,,WF,Denise Nappier,1149,17,21
Fairfield,Bridgeport City CT,State Treasurer,,UNK,Denise Nappier,708,16,10
Fairfield,Bridgeport City CT,State Treasurer,,write-in,Rolf Maurer,0,0,2
Fairfield,Bridgeport City CT,Comptroller,,REP,Sharon McLaughlin,3404,184,37
Fairfield,Bridgeport City CT,Comptroller,,IND,Sharon McLaughlin,280,11,12
Fairfield,Bridgeport City CT,Comptroller,,UNK,Sharon McLaughlin,13,0,0
Fairfield,Bridgeport City CT,Comptroller,,DEM,Kevin Lembo,12525,844,149
Fairfield,Bridgeport City CT,Comptroller,,WF,Kevin Lembo,1123,19,14
Fairfield,Bridgeport City CT,Comptroller,,IND,Kevin Lembo,620,11,8
Fairfield,Bridgeport City CT,Comptroller,,Green,Rolf Maurer,209,12,4
Fairfield,Bridgeport City CT,Attorney General,,REP,Kie Westby,3155,165,38
Fairfield,Bridgeport City CT,Attorney General,,IND,Kie Westby,214,8,5
Fairfield,Bridgeport City CT,Attorney General,,UNK,Kie Westby,98,1,0
Fairfield,Bridgeport City CT,Attorney General,,DEM,George Jepsen,12893,829,153
Fairfield,Bridgeport City CT,Attorney General,,WF,George Jepsen,1117,103,20
Fairfield,Bridgeport City CT,Attorney General,,UNK,George Jepsen,635,13,8
Fairfield,Bridgeport City CT,Attorney General,,Green,Stephen Fournier,256,9,6
